,country,points,price,province,region_1,taster_name,variety,descLen,compound,year
6885,1,86,15.0,1,1,1,286,205,0.6486,2012.0
9408,2,93,25.0,52,468,2,18,248,0.8434,2011.0
1031,2,85,15.0,41,277,2,5,193,0.4404,2010.0
249,3,88,36.0,7,25,6,11,116,0.0,2014.0
3731,3,93,25.0,4,81,4,5,239,0.8481,2014.0
5257,3,85,32.0,4,132,3,100,186,-0.032,2007.0
9809,3,85,7.0,4,58,3,97,231,0.9607,2010.0
368,3,86,30.0,7,25,10,43,248,0.4588,2008.0
4285,3,87,21.0,7,25,6,17,125,0.0258,2015.0
2955,3,91,20.0,7,25,6,20,245,0.34,2013.0
5585,11,83,15.0,25,160,9,5,213,0.4588,2015.0
1849,7,87,16.0,51,11,5,163,231,0.1901,2014.0
6646,3,95,75.0,4,81,3,4,282,0.8573,2009.0
7597,7,90,16.0,53,11,5,22,249,0.8519,2011.0
4245,5,91,66.0,11,548,8,5,340,0.5423,2004.0
9091,3,91,40.0,4,149,12,4,278,0.2732,2013.0
7274,2,85,12.0,52,195,2,270,123,0.5859,2012.0
6328,3,88,40.0,4,118,12,5,184,0.0,2015.0
7892,8,89,20.0,87,11,13,53,259,0.2014,2015.0
6541,2,86,9.0,6,20,2,20,214,0.7269,2012.0
8789,1,88,90.0,3,26,1,3,215,0.0,2011.0
942,2,88,13.0,98,241,2,105,213,0.9313,2014.0
4415,2,87,17.0,52,90,2,19,239,0.8555,2014.0
2188,3,89,25.0,4,7,12,2,377,0.8919,2013.0
9246,8,95,35.0,32,11,13,87,425,0.714,2015.0
8693,3,87,13.0,4,433,11,2,177,0.4404,2016.0
5885,3,88,150.0,4,156,4,15,214,0.34,2013.0
8106,2,87,35.0,74,685,8,68,152,0.6124,2008.0
2447,1,90,25.0,45,303,3,44,291,0.7506,2006.0
2200,3,85,8.0,4,58,11,26,283,0.7717,2012.0
6420,2,87,9.0,6,34,2,20,173,0.0,2015.0
5281,2,88,19.0,41,147,2,5,209,0.7264,2014.0
9041,3,91,20.0,4,705,11,47,277,0.9371,2013.0
5058,3,95,65.0,23,119,10,5,261,0.3612,2014.0
8558,3,87,13.0,4,69,3,9,198,-0.0772,2006.0
6442,3,86,50.0,4,156,4,30,237,0.6808,2011.0
7351,1,87,32.0,3,3,3,3,256,0.8442,2005.0
4175,2,92,99.0,74,500,8,71,248,0.3182,2010.0
8907,3,85,20.0,23,40,10,64,202,-0.5047,2011.0
1622,11,88,12.0,25,160,9,95,244,0.0,2012.0
584,3,85,22.0,23,40,10,51,156,0.5267,2013.0
9749,2,89,25.0,31,46,13,51,247,0.8834,2014.0
9614,12,85,25.0,28,11,2,86,150,0.8051,2012.0
6501,1,88,17.0,10,423,1,101,169,-0.6597,2016.0
7917,2,91,80.0,6,189,2,20,301,0.6369,2010.0
4040,5,90,28.0,11,466,8,4,370,0.25,2013.0
5787,3,89,18.0,4,23,3,9,150,0.8896,2009.0
3805,3,87,35.0,4,16,4,15,191,0.4939,2010.0
4458,5,89,24.0,11,15,8,15,217,-0.0644,2005.0
9641,2,90,20.0,31,46,3,22,384,0.8637,2008.0
59,3,94,86.0,23,40,10,4,355,0.743,2013.0
6798,3,92,80.0,4,44,3,15,308,0.9371,2010.0
5924,32,87,15.0,183,11,5,271,234,0.2789,2011.0
4438,2,85,14.0,6,34,2,20,211,0.7003,2013.0
8954,3,87,20.0,4,7,3,17,206,0.8225,2011.0
6314,6,88,21.0,13,127,9,15,252,0.4404,2015.0
7126,13,91,38.0,38,61,10,30,182,0.6705,2013.0
3302,3,87,14.0,7,25,10,5,228,0.765,2009.0
5268,3,88,15.0,4,180,11,71,215,0.8338,2015.0
780,1,90,50.0,3,155,1,18,264,0.4215,2012.0
8044,3,86,50.0,4,87,3,15,313,0.8248,2004.0
9464,2,88,15.0,36,124,2,5,199,0.8658,2015.0
8950,12,92,120.0,59,11,2,28,296,0.8625,2010.0
8239,2,88,24.0,31,46,2,51,173,0.6705,2010.0
2450,1,90,40.0,55,93,1,5,235,0.0516,2011.0
8793,2,92,40.0,74,142,8,68,298,0.7096,2014.0
8079,10,84,10.0,27,11,9,5,204,-0.0276,2010.0
1341,2,92,55.0,31,46,2,6,270,0.9335,2009.0
3712,3,85,33.0,4,480,3,9,133,0.8176,2010.0
6254,12,84,8.0,147,11,2,28,141,0.5927,2006.0
5953,17,88,20.0,80,11,17,2,296,0.7227,2014.0
8274,2,88,25.0,33,52,2,5,187,0.6705,2011.0
4812,2,90,50.0,74,142,8,68,196,0.4939,2014.0
4098,3,94,65.0,4,149,12,4,383,0.8955,2013.0
1036,5,89,25.0,9,279,3,5,331,0.7027,2016.0
6404,9,91,21.0,97,11,8,22,234,0.8151,2009.0
2135,12,90,44.0,42,11,2,40,174,0.8439,2001.0
4083,2,87,25.0,52,90,2,19,166,0.3182,2012.0
8247,3,93,30.0,4,536,11,11,315,0.9481,2012.0
575,3,89,34.0,4,180,4,91,249,0.5423,2012.0
4740,7,95,292.0,53,11,8,22,309,0.9042,2009.0
4,3,93,38.0,4,4,4,5,326,0.4404,2013.0
2694,1,89,21.0,10,447,1,196,239,0.8616,2012.0
7264,3,90,13.0,4,58,3,5,262,0.802,2007.0
7055,1,89,18.0,37,73,1,18,261,0.0,2014.0
4355,2,88,20.0,98,385,2,105,206,0.6369,2013.0
3537,3,87,70.0,4,16,3,15,281,0.4767,2005.0
8016,3,84,15.0,4,48,3,5,142,0.8074,2010.0
8775,2,91,25.0,6,189,2,20,115,0.5859,2010.0
9908,11,92,30.0,25,38,9,27,240,0.8885,2015.0
801,3,93,25.0,7,25,10,11,261,0.0,2009.0
7585,1,85,26.0,19,131,3,18,230,0.9442,2004.0
5109,12,93,20.0,73,11,2,28,228,0.4404,2010.0
1450,1,88,20.0,3,155,1,3,228,0.5423,2013.0
9046,1,86,31.0,3,3,9,3,288,0.8898,1999.0
9470,3,86,22.0,7,172,10,3,179,0.705,2006.0
1528,3,83,7.0,4,106,3,47,253,0.9109,1999.0
352,3,93,44.0,4,151,4,5,309,0.7003,2013.0
7576,6,87,32.0,14,668,9,23,167,0.4215,2011.0
5721,3,87,20.0,7,552,10,22,212,0.561,2007.0
7904,3,82,33.0,47,76,3,83,261,0.3182,2009.0
6830,1,91,75.0,19,27,3,25,247,0.796,2007.0
3116,3,85,18.0,4,23,3,42,89,0.0,2008.0
9124,3,94,65.0,4,4,4,4,285,0.5719,2012.0
8852,12,90,95.0,57,11,2,243,357,0.8126,2013.0
4642,1,89,25.0,45,238,1,108,193,0.0,2013.0
4123,1,90,50.0,19,122,1,25,283,0.4404,2010.0
1165,12,94,94.0,42,11,3,40,216,-0.5719,1997.0
1192,2,88,25.0,6,304,2,20,246,0.0,2011.0
8236,2,83,25.0,48,191,2,2,172,0.7579,2014.0
